,nodes,edges,node_size
0,EmpireMaroc,"['Henrique5998', 'AdilAdi06894792', 'amgharbxl', 'jabiri2022', 'Samarkandy1', 'IbnMoiMeme', 'Helloyou551', 'tinidoughi', 'moderox2', 'safias1', 'lion2taza', 'callthisgJACK', 'BukowskiMitoun', 'OGf7XC07XC0404', 'chaouibati', 'Elam46128932', 'FiliusIII', 'Maroc1deF', 'Casa2Fes', 'moujanemohame11', 'yazmoorish', 'knitrii', 'Sarita255180337', 'TexWill38916504', 'almghrbyt4', 'mestersaidia', 'Moradalm432', 'Spartiate212', 'IshIsh40114909', 'medben2025', 'AhmedHejjou', 'Larby79106329', 'Ric3Aya', 'Yadjar', 'adaadeg1', 'moderox2', 'chaouibati', 'spacekika2', 'safias1', 'taguiwin', 'Helloyou551']",41
1,BreikaBeiba,"['Drobble1', 'miloud60', 'KahenaB213', 'Ramdane2U', 'Hocine68431542', 'Mandollll', 'MelizaBeghdad', 'dzriegang', 'Zoouuinaa', 'MvdeCrvmson', 'amykarma2016', 'setifis2', 'SD46000', 'Dino012346', '8zNino', 'BejitaAlNamek', 'MouloudKhalloti', 'mellexxya', 'djezyria213', 'heyiamSogeking', 'SaabrinaDz', 'DzPower46226330', 'chafi42', 'admelissaa', 'dida1402', 'algrien70182759', 'HeritageAlgeria', 'MimiyaB1', 'LechatCherry', 'HAFID500', 'HabchLina', 'Nabverratti', 'laNight94', 'daoudali8', 'MMassrali', '100moinsneuf', 'DzHistorical', 'ParisienGunners', 'Waleadeur', 'waazizad', 'Drobble1', 'Ramdane2U', 'shamssoalassil3', 'LaughLovLive', 'fah48297908', 'SaharaMarocai15', 'YassineJaouane8', 'rtx1991', 'spacekika2', 'KORTBI', 'zanettitude', 'p6cyZ4ExXPXXaUc', 'waazizad', 'VagueDfraicheur', 'SALAHBNMR', 'waazizad', 'ForumFeminin', 'elhilaliali1', 'sefarjaaal', 'p6cyZ4ExXPXXaUc', 'RajaouiSaladdin', 'themoormorocan', 'alexubago40', 'tourouguihicham', 'alexubago777', 'ImadOUAZZANII', 'ahmadam112', 'waazizad', 'MKesstaou', 'Lookatoor', 'nirvosis6', 'spacekika2', 'BreikaBeiba', 'dahouhamid', 'GuerraouiJaws', 'Radon87625057', 'badjer1315', 'KhalidCherradi', 'RNoukoud', 'DrwistF', 'YouSsef63159042', 'alexubago777', 'Lahcenhaddad', 'waazizad', 'MKesstaou', 'SasukeDragnir', 'Mustaph84667433', 'MonkTracking', 'RidouanOfficial', 'Youssefoualida', 'themoormorocan', 'AmineMAK17', 'RNoukoud', 'KhalidLebbakh', 'Bocchos2', 'fr2bit', 'waazizad', 'LaughLovLive', 'ImadMurcia', 'Lahcenhaddad', 'AElhadik', 'Ibrahim05axhlIJ', 'SarlMarklux', 'Lookatoor', 'BtpLinco', 'SalahSa76180698', 'GreenAdler', 'walidfarchi1', 'ahmadam112', 'rachidzemmour1', 'SarlMarklux', 'RajaouiSaladdin', 'KaoutarNorsam', 'RidouanOfficial', 'KrymLal', 'Kenza97817292', 'fr2bit', 'Fayssalpress', 'Fathad59650', 'LechatCherry', 'BreikaBeiba', 'mrirt25', 'akhatt93', 'Simo91227006', 'Helloyou551', 'BigBeurc', 'MHAMEDOUBRAHIM', 'MrNakama1', 'RidouanOfficial', 'panda9014328346', 'MoorishForum', 'Youssefoualida', 'moderox2', 'spacekika2']",134
2,DestinationALG,"['FadilaBouchoua3', 'AmelBelhadj34', 'Hafsarahmani1', 'InfosAlgeria', 'SabrinaKetfi', 'DjellalNorah', 'DealPromoFR', 'Abou123478', 'nudormacuma', 'khiersaidani', 'BdHymr', 'Sma000000As', 'Fanfan97444707', 'FadilaBouchareb', 'rnymnl1', 'nuumidiaa', 'SandrineDaCost7', 'Lesoukdz', 'djazairian', 'DdLnd2', 'malekchergui28']",21
3,AbdellahBOUDOUR,[],0
4,EsperanceSTunis,"['HJZ89075900', 'afif87891147', 'KingYaseen29', 'hassouna2002', 'BakhtaBerezine', 'Rahma72755495', 'fiddamm', 'AmineNouaili']",8
5,May_N_H,['1000Tonne'],1
6,_1794_,"['MezianeMzt', 'Salamspike', 'MilaMazed', 'haithemaigle', 'YacineMokrane9', 'AlkamaMalika', 'jojitgilbert', 'messi89minou', 'Abraham32694890', 'MBarkane10', 'chaibiamine5']",11
