,username,content,c_bag_of_words,date,tweet_id,outlinks,n_links,url,n_likes,n_quotes,language,replies,tweet_quotes,tweet_likers,count,quoted,liked,day_day,period,hashtags,emojis,cluster
1244,IbersieneJugur2,cylia ouikene rentre en jeu pour la medaille d'or . https://t.co/t62j3ek4yo,cylia ouikene rentre jeu medaill de https://t.co/t62j3ek4yo,2022-06-26 16:57:54+00:00,1541103472833167360,,0,https://twitter.com/IbersieneJugur2/status/1541103472833167360,7,0,fr,1,,,1,0,0,2022-06-26,0.0,#QJMO_2022 #Algeria,👊 🔥,1
1245,HillMingus,les bien fait de la vente de ticket en ligne.,bien faire vente ticket ligne,2022-06-26 16:56:08+00:00,1541103024575242240,,0,https://twitter.com/HillMingus/status/1541103024575242240,1,0,fr,0,,,1,0,0,2022-06-26,0.0,#Algerie #Oran2022,,1
1246,Psgpourlavie2,mt : u18 algerie 1-0 espagne u18 tre bonne premiere mi-temps de nos jeunes.  faut faire le break en seconde mi-temps ,mt u18 algerie 1 espagne u18 tre bon premier mi-temps jeune falloir faire break second mi-temps,2022-06-26 16:52:10+00:00,1541102030378369024,,0,https://twitter.com/Psgpourlavie2/status/1541102030378369024,0,0,fr,0,,,1,0,0,2022-06-26,0.0,#COJM2022,🇩🇿,1
1247,TactiqueDz,rappelons que yanis lagha aurait du etre le 9 de lequipe aujourdhui pour ce match algerie espagne mais bon il a refuse detre appele et signe pro a lol.. que pasa ?  https://t.co/rd5kcv76o1,rappeler yanis lagha etre 9 lequipe aujourdhui match algerie espagne bon avoir refuse detre appele signe pro avoir lol pasa https://t.co/rd5kcv76o1,2022-06-26 16:52:05+00:00,1541102008719081474,,0,https://twitter.com/TactiqueDz/status/1541102008719081474,55,1,fr,9,"{926429801220640768: {'uid': 926429801220640768, 'name': '$oldir Kab', 'username': 'soldir36', 'tweet_id': 1541215593835143168, 'tweet_text': 'Il n’a pas intérêt à retourner sa veste https://t.co/D42QV8cIlr'}}","{1526122176159657986: {'uid': 1526122176159657986, 'name': 'Michael Horta', 'username': 'Miketysonss40'}, 3417984285: {'uid': 3417984285, 'name': 'Mehdi 🇩🇿', 'username': 'mehdi_672'}, 2647481322: {'uid': 2647481322, 'name': '@minou31', 'username': 'BaharAmine'}, 1487551941752369153: {'uid': 1487551941752369153, 'name': 'Anes Lazri', 'username': 'LazriAnes'}, 739128015544782848: {'uid': 739128015544782848, 'name': 'issam ghimouz', 'username': 'issam_ghimouz'}, 968485800: {'uid': 968485800, 'name': 'Omaaaxx 🇩🇿🇬🇧', 'username': 'G09Omar'}, 1509149630436630534: {'uid': 1509149630436630534, 'name': 'Belkis🇩🇿🇩🇿', 'username': 'Belkis93389888'}, 1509449188316225540: {'uid': 1509449188316225540, 'name': 'Mm', 'username': 'Mm05458009'}, 1855269889: {'uid': 1855269889, 'name': 'خليفة بن الطيب', 'username': 'zizou521'}, 1053705205718704128: {'uid': 1053705205718704128, 'name': 'RIDA MALK AMIR', 'username': 'ridaamir1994'}, 1481024215348355072: {'uid': 1481024215348355072, 'name': 'Mohamed', 'username': 'Mohamed90018278'}, 1320559236905095168: {'uid': 1320559236905095168, 'name': '#GlazersOut', 'username': 'MrzMerouane'}, 1404529641063333888: {'uid': 1404529641063333888, 'name': '.', 'username': 'nazimLt'}, 1001215694824968192: {'uid': 1001215694824968192, 'name': 'Rayan🇩🇿', 'username': 'Rayann_Dzz'}, 1334814611711913984: {'uid': 1334814611711913984, 'name': 'mel', 'username': 'admelissaa'}, 897809285652107264: {'uid': 897809285652107264, 'name': '^-^يوسف𝓨𝓸𝓾𝓬𝓮𝓯', 'username': 'youcefbrahimii'}, 1376571669603565568: {'uid': 1376571669603565568, 'name': 'ahmed_lotfi92', 'username': 'ahmed_lotfi92'}, 1526000684809736194: {'uid': 1526000684809736194, 'name': 'dzforlife🇩🇿', 'username': 'PrincipesValeur'}, 1270849709331136512: {'uid': 1270849709331136512, 'name': '🇩🇿الفندك Iska Segam🇩🇿', 'username': 'IskaSegam'}, 1371178236403716096: {'uid': 1371178236403716096, 'name': '𝔼𝕝 ℂℍ𝔸ℙ𝔼𝔸𝕌🇩🇿', 'username': 'IshakHDz10'}, 1458990933928726558: {'uid': 1458990933928726558, 'name': 'Younes Abada', 'username': 'realyounesabada'}, 727935867277475840: {'uid': 727935867277475840, 'name': 'Jecpasquijesuiis 🇩🇿', 'username': 'RyanAbbad83'}, 1242410798829502464: {'uid': 1242410798829502464, 'name': '❤💙modz🇩🇿🇵🇸', 'username': 'mdz_le'}, 1483535252228300800: {'uid': 1483535252228300800, 'name': 'Aimed', 'username': 'Aimed06195876'}, 1329906976411832321: {'uid': 1329906976411832321, 'name': 'zEnai', 'username': 'enai_z'}, 4053778953: {'uid': 4053778953, 'name': '⭕️ Derek ⭕️', 'username': 'boughidz11'}, 1032343814: {'uid': 1032343814, 'name': 'Lelelou', 'username': 'mibouney'}, 1394744045193371659: {'uid': 1394744045193371659, 'name': 'Nad🇮🇹🇫🇷🇩🇿🏆', 'username': 'Nadia41483862'}, 1501625639257919491: {'uid': 1501625639257919491, 'name': 'Ханни \uea00', 'username': 'elfhannywb'}, 1316376444478656514: {'uid': 1316376444478656514, 'name': '🇩🇿🇩🇿', 'username': 'Mohamine54'}, 1302722168455823361: {'uid': 1302722168455823361, 'name': 'ⓘ Utilisateur introuvable', 'username': 'Guuettatm'}, 1138890558053765120: {'uid': 1138890558053765120, 'name': 'Foued Fennec Dz 🇵🇸🇵🇸🇵🇸', 'username': 'FennecFoued'}, 1501805847877496832: {'uid': 1501805847877496832, 'name': 'w4ssim', 'username': 'w4ssm'}, 1234221708048990210: {'uid': 1234221708048990210, 'name': 'Ilyes🇵🇸', 'username': 'ilyestadz'}, 1073657026125983746: {'uid': 1073657026125983746, 'name': 'Momo-Adam🇵🇸🇩🇿', 'username': 'momoadam94'}, 1334136417304408072: {'uid': 1334136417304408072, 'name': 'Axel 🇩🇿🇫🇷', 'username': 'BigOGaxel'}, 1030195107398606848: {'uid': 1030195107398606848, 'name': 'élionor', 'username': 'LiliElionor'}, 1118922439143170049: {'uid': 1118922439143170049, 'name': 'Kichab🇵🇸', 'username': 'Kichab23'}, 1344470922649088003: {'uid': 1344470922649088003, 'name': 'adel adousi', 'username': 'AdelAdousi'}, 622755425: {'uid': 622755425, 'name': 'mehdi’n ⚡️', 'username': 'HayceMehdy'}, 1126847507902947328: {'uid': 1126847507902947328, 'name': '𝗡𝝠𝟮𝗦', 'username': 'na597ss'}, 1431941271329849344: {'uid': 1431941271329849344, 'name': 'M', 'username': 'Mohamed75071546'}, 1126891505749303297: {'uid': 1126891505749303297, 'name': 'Rayan / Kaeki 🥵🇩🇿', 'username': 'KaekiLeVrai'}, 1409528951500910597: {'uid': 1409528951500910597, 'name': 'noham_kdj🇩🇿🇵🇸', 'username': 'nohamm_kdj'}, 1263177817526882304: {'uid': 1263177817526882304, 'name': '範馬 ⵣ🇩🇿🇵🇸', 'username': '59Carats'}, 814864153: {'uid': 814864153, 'name': 'سفيان', 'username': 'Saharianboy'}, 1412062007226945541: {'uid': 1412062007226945541, 'name': 'AfRizQu’1', 'username': 'elfutbale'}, 1105905933560045570: {'uid': 1105905933560045570, 'name': 'Ndz 🇩🇿', 'username': 'narimen19716357'}, 238523572: {'uid': 238523572, 'name': 'El Kechebour Mohamed', 'username': 'El_Mohamed13'}, 1138716907610234880: {'uid': 1138716907610234880, 'name': 'waqas', 'username': 'waqkass'}, 1086032862942515201: {'uid': 1086032862942515201, 'name': '🇵🇸🏴\u200d☠️🇩🇿', 'username': 'abdoumadridis11'}, 716254713407258624: {'uid': 716254713407258624, 'name': 'عادل علية', 'username': 'adelalia352'}, 1246176546894819330: {'uid': 1246176546894819330, 'name': 'slahedji dinna', 'username': 'SlahedjiD'}}",1,1,1,2022-06-26,0.0,#Oran2022,🇩🇿 🇪🇸 👀 🔥,1
1248,IbersieneJugur2,"fin de la premiere periode entre l'algerie et l'espagne en faveur des verts, beaucoup de belles choses a retenir, a l'image des individualites mais je sens quand meme un manque de cohesion du au manque de preparation reguliere cote algerie. https://t.co/xk8e62uo5g",fin premier periode entre le le faveur vert beaucoup bel chose avoir retenir avoir le individualite sens quand meme manqu cohesion manqu preparation reguliere cote algerie https://t.co/xk8e62uo5,2022-06-26 16:51:35+00:00,1541101882306879495,,0,https://twitter.com/IbersieneJugur2/status/1541101882306879495,7,0,fr,0,,,1,0,0,2022-06-26,0.0,#Oran2022 #Algeria,,1
1249,algeriafoot,vu son but ca ne m'etonne pas. https://t.co/ms4wg25vlc,voir but ca me pas https://t.co/ms4wg25vlc,2022-06-26 16:51:29+00:00,1541101856746782721,,0,https://twitter.com/algeriafoot/status/1541101856746782721,2,0,fr,0,,,1,0,0,2022-06-26,0.0,#ألعاب_البحر_الأبيض_المتوسط #Oran2022,,1
1250,MBLAMINE,une premiere medaille est attendue a partir de 18h30 pour la   finale -61kg entre wafa mahjoub et chaima midi   https://t.co/58rwu37ggo,premier medaill attendre avoir partir 18h30 final -61 entre wafa mahjoub chaima midi https://t.co/58rwu37ggo,2022-06-26 16:48:45+00:00,1541101167475843072,,0,https://twitter.com/MBLAMINE/status/1541101167475843072,0,0,fr,1,,,1,0,0,2022-06-26,0.0,#Tunisie #Karate #Algerie #JeuxMéditerranéens #oran2022,🇹🇳,1
1251,MouslimAli, quels nerfs ! nous sommes maintenant a l'interieur du stade olympique d'oran  pour vivre en quelques minutes la ceremonie d'ouverture des jeux mediterraneens en .,quel nerf maintenant avoir le stade olympique de vivre quelque minute ceremonie de jeu mediterraneen,2022-06-26 16:47:10+00:00,1541100768098484224,,0,https://twitter.com/MouslimAli/status/1541100768098484224,0,0,fr,0,,,1,0,0,2022-06-26,0.0,#Orán2022,🔛 🏟️,2
1252,NC_H_,ambiance de malade   donnez nous la can 2025,ambiance malade donnez can 2025,2022-06-26 16:34:23+00:00,1541097554326081537,,0,https://twitter.com/NC_H_/status/1541097554326081537,1,0,fr,0,,,1,0,0,2022-06-26,0.0,#Oran2022,,1
1253,Marocain2france,bravo a qui a investi dans la full hd pour la retransmission,bravo avoir avoir investir full hd retransmission,2022-06-26 16:33:03+00:00,1541097215682281472,,0,https://twitter.com/Marocain2france/status/1541097215682281472,1,0,fr,0,,,1,0,0,2022-06-26,0.0,#Oran2022,,1
1254,Algrienouvelle5,"ouverture du score pour l'algerie, quel missile ! . https://t.co/tpswzcdc7a",ouverture score le quel missile https://t.co/tpswzcdc7a,2022-06-26 16:30:09+00:00,1541096486460706819,,0,https://twitter.com/Algrienouvelle5/status/1541096486460706819,6,0,fr,1,,,1,0,0,2022-06-26,0.0,#Algeria #Algerie #ألعاب_البحر_الأبيض_المتوسط #Oran2022 #وهران_في_القلب #JMORAN2022 #JMA2022,🇩🇿 😍 ❤️,1
1255,TheRealMarroqui,"non, ces photos ne sont pas prises au mondial du mexique 1986 mais bel et bien des images prises aujourd'hui lors des jeux mediterraneens organises en algerie   https://t.co/om8q0h2u1b",non photo prise mondial mexique 1986 bel bien image prise aujourd'hui lors jeu mediterraneen organiser algerie https://t.co/om8q0h2u1b,2022-06-26 16:29:41+00:00,1541096370492379137,,0,https://twitter.com/TheRealMarroqui/status/1541096370492379137,6,1,fr,6,"{1442785149230407682: {'uid': 1442785149230407682, 'name': 'Marocain pas pour rien - Mr Robot', 'username': 'Marocain2france', 'tweet_id': 1541097215682281472, 'tweet_text': 'Bravo à #Oran2022 qui a investi dans la Full HD pour la retransmission https://t.co/xg6nQGmq6e'}}",,1,1,0,2022-06-26,0.0,#Oran #وهران #JMORAN2022 #LOL,😂,2
1256,NC_H_,jai loupe le but de lalgerie face a lespagne   il etait comment ?,jai loupe but lalgerie face avoir lespagne etait comment,2022-06-26 16:29:33+00:00,1541096336828911622,,0,https://twitter.com/NC_H_/status/1541096336828911622,0,0,fr,1,,,1,0,0,2022-06-26,0.0,#Oran2022,,1
1257,ghilaslunatic,but de l'algerie vs espagne magnifico ,but le vs espagne magnifico,2022-06-26 16:29:24+00:00,1541096297326845952,,0,https://twitter.com/ghilaslunatic/status/1541096297326845952,0,0,fr,0,,,1,0,0,2022-06-26,0.0,#TeamDZ #Oran2022 #,🤩,1
1258,IbersieneJugur2,"enorme, formidable but de puch ",enorm formidable but puch,2022-06-26 16:28:23+00:00,1541096041562480640,,0,https://twitter.com/IbersieneJugur2/status/1541096041562480640,1,0,fr,0,,,1,0,0,2022-06-26,0.0,#QJMO_2022 #Algeria,🔥 🔥,1
1259,TactiqueDz,olalalalalalala quel but de lalgerieeeee 1-0 le stade senflamme quel missile https://t.co/hfuiohyg8s,olalalalalalala quel but lalgerieeeee 1 stade senflamme quel missile https://t.co/hfuiohyg8s,2022-06-26 16:27:15+00:00,1541095758434271233,,0,https://twitter.com/TactiqueDz/status/1541095758434271233,52,0,fr,2,,"{1493722656876728321: {'uid': 1493722656876728321, 'name': 'Zoukani Zoukani', 'username': 'ZoukaniZ'}, 1212476003907321858: {'uid': 1212476003907321858, 'name': '🌹 Miss Ouarda 🇩🇿', 'username': 'MissOuardaDZ'}, 1404529641063333888: {'uid': 1404529641063333888, 'name': '.', 'username': 'nazimLt'}, 1344470922649088003: {'uid': 1344470922649088003, 'name': 'adel adousi', 'username': 'AdelAdousi'}, 1208533050470150145: {'uid': 1208533050470150145, 'name': 'sᴛᴀʀ ᴘʟᴀᴛɪɴᴜᴍ 亀 🇵🇸🇩🇿', 'username': 'yanra213'}, 1073657026125983746: {'uid': 1073657026125983746, 'name': 'Momo-Adam🇵🇸🇩🇿', 'username': 'momoadam94'}, 1423408491490840578: {'uid': 1423408491490840578, 'name': 'LAHOUANI Anis', 'username': 'anis_lahouani'}, 3936457180: {'uid': 3936457180, 'name': 'JSK', 'username': 'JSKUSMA77'}, 1402402242251067394: {'uid': 1402402242251067394, 'name': 'A🇩🇿', 'username': 'meliya213'}, 1334814611711913984: {'uid': 1334814611711913984, 'name': 'mel', 'username': 'admelissaa'}, 3432865143: {'uid': 3432865143, 'name': 'Rabie👁️', 'username': 'Rabiekherouf'}, 1138890558053765120: {'uid': 1138890558053765120, 'name': 'Foued Fennec Dz 🇵🇸🇵🇸🇵🇸', 'username': 'FennecFoued'}, 1172235780485521415: {'uid': 1172235780485521415, 'name': 'Rayan.Amz🇩🇿ⵣ', 'username': 'Furious_Saiyan2'}, 1343549117033820161: {'uid': 1343549117033820161, 'name': 'Tomdz34🇩🇿ⵣ🇵🇸', 'username': 'TDz34'}, 1329835464983973893: {'uid': 1329835464983973893, 'name': 'Hαɴcocĸ', 'username': 'ultiiaa'}, 1035322562174230528: {'uid': 1035322562174230528, 'name': 'fennec 🇩🇿', 'username': 'slhdjz'}, 1925808793: {'uid': 1925808793, 'name': 'soDz', 'username': 'sottodje'}, 1534868736070537218: {'uid': 1534868736070537218, 'name': 'طارق بن مبارك', 'username': 'tarqbnmbark11'}, 1126847507902947328: {'uid': 1126847507902947328, 'name': '𝗡𝝠𝟮𝗦', 'username': 'na597ss'}, 1529933388534231041: {'uid': 1529933388534231041, 'name': 'eljugadordz31', 'username': 'YacineC35560732'}, 1126891505749303297: {'uid': 1126891505749303297, 'name': 'Rayan / Kaeki 🥵🇩🇿', 'username': 'KaekiLeVrai'}, 1501805847877496832: {'uid': 1501805847877496832, 'name': 'w4ssim', 'username': 'w4ssm'}, 1333476209456517134: {'uid': 1333476209456517134, 'name': 'akms93csl🇩🇿', 'username': 'Moh55173110'}, 1509230012997713931: {'uid': 1509230012997713931, 'name': 'Tahia Tahia', 'username': 'Tah_ia213'}, 1030195107398606848: {'uid': 1030195107398606848, 'name': 'élionor', 'username': 'LiliElionor'}, 1259973510342025218: {'uid': 1259973510342025218, 'name': 'Wass93DZ', 'username': 'Wass93dz_'}, 302127804: {'uid': 302127804, 'name': 'AS', 'username': 'Sma000000As'}, 1312182306845720578: {'uid': 1312182306845720578, 'name': 'Unī_cá ♤♡', 'username': 'Unc67246551'}, 1354784925703163910: {'uid': 1354784925703163910, 'name': 'AY ⚽️🇧🇷🇩🇿', 'username': 'LePotoYouu'}, 921762951979327488: {'uid': 921762951979327488, 'name': 'Nini 🐰', 'username': 'Numidia28'}, 1258621405559742467: {'uid': 1258621405559742467, 'name': '19002🇩🇿', 'username': 'dixneuf00deux'}, 960260963328028673: {'uid': 960260963328028673, 'name': 'PDM pour Mahrez ☠️❌👻🇨🇩 🇭🇹', 'username': 'DepayBulls'}, 1307204030142308358: {'uid': 1307204030142308358, 'name': 'Meissa', 'username': 'meissa_0711'}, 1246176546894819330: {'uid': 1246176546894819330, 'name': 'slahedji dinna', 'username': 'SlahedjiD'}, 1105905933560045570: {'uid': 1105905933560045570, 'name': 'Ndz 🇩🇿', 'username': 'narimen19716357'}, 1234777675958452224: {'uid': 1234777675958452224, 'name': 'Amine Dziri', 'username': 'AmineDziri15'}, 892503636227575809: {'uid': 892503636227575809, 'name': 'Moncef🦊', 'username': 'moncef_27'}, 1373563292208234497: {'uid': 1373563292208234497, 'name': 'Le_h93', 'username': 'le_h931'}, 1409528951500910597: {'uid': 1409528951500910597, 'name': 'noham_kdj🇩🇿🇵🇸', 'username': 'nohamm_kdj'}, 2796474557: {'uid': 2796474557, 'name': '☄𝓗𝓮𝓷𝓻𝔂𝓟𝓻𝓲𝓶𝓮 ☄🇩🇿', 'username': 'sgr_mehdi'}, 1509149630436630534: {'uid': 1509149630436630534, 'name': 'Belkis🇩🇿🇩🇿', 'username': 'Belkis93389888'}, 1238194861439926280: {'uid': 1238194861439926280, 'name': 'Jetok', 'username': 'JETOK_FOOT'}, 1375197003496488961: {'uid': 1375197003496488961, 'name': 'Snds⚡', 'username': 'Sndy_15'}, 1397282038332502022: {'uid': 1397282038332502022, 'name': 'El Pueblo', 'username': 'samykendi1'}, 1474058878866370576: {'uid': 1474058878866370576, 'name': 'PSGXALGERIE 🇨🇷🇩🇿 🇵🇸', 'username': 'Ademoh75'}, 1255635132100292608: {'uid': 1255635132100292608, 'name': 'ЯΛFI3', 'username': 'Not_Rafi3'}, 1309550712792195074: {'uid': 1309550712792195074, 'name': '🇩🇿', 'username': 'rachel_2280'}}",1,0,1,2022-06-26,0.0,,🇩🇿 🇪🇸 🇸🇪 🔥 🔥 🔥,1
1260,imedbd,pendant des jours on mexpliquait en space a quel points les jeunes du real madrid fc barcelone etc etaient des cracks je vois rien de tout ca pour linstant  allez les verts ,pendant jour mexpliquait space avoir quel point jeune real madrid fc barcelone etc etaient crack voir rien ca linster aller vert,2022-06-26 16:26:15+00:00,1541095506008498181,,0,https://twitter.com/imedbd/status/1541095506008498181,9,0,fr,2,,,1,0,0,2022-06-26,0.0,#Oran2022 #JMORAN2022,🇩🇿,1
1261,TactiqueDz,toujours 0-0 entre lalgerie et lespagne ,toujours 0 entre lalgerie lespagne,2022-06-26 16:25:04+00:00,1541095209739735042,,0,https://twitter.com/TactiqueDz/status/1541095209739735042,14,0,fr,3,,,1,0,0,2022-06-26,0.0,#JMORAN2022 #Oran2022,🇩🇿 🇪🇸 🔥,1
